ID,time,y1,censored,split,color,filter
NHP14,9,2.67761,1,All,#4682B4,0
NHP14,14,2.67761,1,All,#4682B4,0
NHP14,23,2.67761,1,All,#4682B4,0
NHP15,0,2.67761,1,All,#4682B4,0
NHP15,1,6.05425,0,All,#4682B4,0
NHP15,2,4.29975,0,All,#4682B4,0
NHP15,3,4.04861,0,All,#4682B4,0
NHP15,4,3.46965,0,All,#4682B4,0
NHP15,5,2.89081,0,All,#4682B4,0
NHP15,7,2.67761,1,All,#4682B4,0
NHP15,10,2.67761,1,All,#4682B4,0
NHP15,14,2.67761,1,All,#4682B4,0
NHP15,23,2.67761,1,All,#4682B4,0
NHP15,29,2.67761,1,All,#4682B4,0
NHP16,0,2.67761,1,All,#4682B4,0
NHP16,1,2.67761,1,All,#4682B4,0
NHP16,2,3.63067,0,All,#4682B4,0
NHP16,4,2.67761,1,All,#4682B4,0
NHP16,5,2.67761,1,All,#4682B4,0
NHP16,7,2.67761,1,All,#4682B4,0
NHP16,9,2.67761,1,All,#4682B4,0
NHP16,14,2.67761,1,All,#4682B4,0
NHP16,23,2.67761,1,All,#4682B4,0
NHP17,0,2.67761,1,All,#4682B4,0
NHP17,1,6.93938,0,All,#4682B4,0
NHP17,2,7.12591,0,All,#4682B4,0
NHP17,3,5.65293,0,All,#4682B4,0
NHP17,4,5.24824,0,All,#4682B4,0
NHP17,5,5.10868,0,All,#4682B4,0
NHP17,7,2.67761,1,All,#4682B4,0
NHP17,10,2.67761,1,All,#4682B4,0
NHP17,14,2.67761,1,All,#4682B4,0
NHP17,23,2.67761,1,All,#4682B4,0
NHP17,29,2.67761,1,All,#4682B4,0
NHP18,0,2.67761,1,All,#4682B4,0
NHP18,1,6.07915,0,All,#4682B4,0
NHP18,2,7.88521,0,All,#4682B4,0
NHP18,3,6.52466,0,All,#4682B4,0
NHP18,4,5.89468,0,All,#4682B4,0
NHP18,7,2.67761,1,All,#4682B4,0
NHP18,10,2.67761,1,All,#4682B4,0
NHP18,14,2.67761,1,All,#4682B4,0
NHP18,23,2.67761,1,All,#4682B4,0
NHP18,29,2.67761,1,All,#4682B4,0
NHP19,0,2.67761,1,All,#4682B4,0
NHP19,1,7.48514,0,All,#4682B4,0
NHP19,2,8.90729,0,All,#4682B4,0
NHP19,3,7.18282,0,All,#4682B4,0
NHP19,4,7.1237,0,All,#4682B4,0
NHP19,5,6.62438,0,All,#4682B4,0
NHP19,7,8.30593,0,All,#4682B4,0
NHP19,9,4.87013,0,All,#4682B4,0
NHP19,14,2.67761,1,All,#4682B4,0
NHP19,23,2.67761,1,All,#4682B4,0
NHP2,0,2.67761,1,All,#4682B4,0
NHP2,1,8.11486,0,All,#4682B4,0
NHP2,2,8.69263,0,All,#4682B4,0
NHP2,3,7.68783,0,All,#4682B4,0
NHP2,4,6.618,0,All,#4682B4,0
NHP2,5,5.68072,0,All,#4682B4,0
NHP2,7,6.43414,0,All,#4682B4,0
NHP2,9,2.67761,1,All,#4682B4,0
NHP2,14,2.67761,1,All,#4682B4,0
NHP2,23,2.67761,1,All,#4682B4,0
NHP20,0,2.67761,1,All,#4682B4,0
NHP20,1,5.29104,0,All,#4682B4,0
NHP20,2,6.45138,0,All,#4682B4,0
NHP20,3,5.69247,0,All,#4682B4,0
NHP20,4,4.26118,0,All,#4682B4,0
NHP20,5,5.21907,0,All,#4682B4,0
NHP20,7,2.67761,1,All,#4682B4,0
NHP20,10,2.67761,1,All,#4682B4,0
NHP20,14,2.67761,1,All,#4682B4,0
NHP20,23,2.67761,1,All,#4682B4,0
NHP20,29,2.67761,1,All,#4682B4,0
NHP21,0,2.67761,1,All,#4682B4,0
NHP21,1,5.27088,0,All,#4682B4,0
NHP21,2,5.44505,0,All,#4682B4,0
NHP21,3,2.67761,1,All,#4682B4,0
NHP21,4,2.67761,1,All,#4682B4,0
NHP21,5,2.67761,1,All,#4682B4,0
NHP21,7,2.67761,1,All,#4682B4,0
NHP21,10,2.67761,1,All,#4682B4,0
NHP21,14,2.67761,1,All,#4682B4,0
NHP21,23,2.67761,1,All,#4682B4,0
NHP21,29,2.67761,1,All,#4682B4,0
NHP22,0,2.67761,1,All,#4682B4,0
NHP22,1,2.93677,0,All,#4682B4,0
NHP22,2,3.02216,0,All,#4682B4,0
NHP22,3,2.67761,1,All,#4682B4,0
NHP22,4,2.67761,1,All,#4682B4,0
NHP22,5,2.67761,1,All,#4682B4,0
NHP22,7,2.67761,1,All,#4682B4,0
NHP22,10,2.67761,1,All,#4682B4,0
NHP22,14,2.67761,1,All,#4682B4,0
NHP22,23,2.67761,1,All,#4682B4,0
NHP22,29,2.67761,1,All,#4682B4,0
